X	=	

	13.165	1164.5
	-20.98	-2384.5
	7.1152	-5.5433
	8.2486	1192.1
	-0.0026203	1.3806
	-3.512	-6.8591


Result	=	

	1.891	32.092
	1.9409	42.033
	1.9659	45.588
	1.967	52.939
	1.9254	69.266
	1.9719	68.112
	2.0286	86.631
	4.0241	26.909
	4.0714	42.647
	4.0784	49.266
	4.0178	59.788
	4.0306	68.065
	4.0361	74.917
	4.0567	103.5
	6.1303	22.853
	6.1076	41.57
	5.9845	56.724
	6.0524	58.658
	6.0939	64.904
	6.0844	72.68
	6.1249	97.142
	10.155	15.43
	9.9695	39.983
	9.7461	56.016
	9.9217	54.843
	9.9827	60.877
	9.8118	73.728
	9.8408	98.651
	1.9278	20.13
	1.929	53.709
	1.9837	93.812
	10.139	16.224
	9.9831	54.718
	10.019	93.642
	19.885	24.692
	19.884	61.474
	20.238	93.428


dev	=	

	4.1632	
