Photon	Tot.	w/			
Energy	Coherent				
					
1.00E-03	4.65E+03	1.0000		1.0000	4.65E+03
1.50E-03	2.09E+03	1.5000		1.5000	2.09E+03
2.00E-03	1.14E+03	2.0000		2.0000	1.14E+03
2.21E-03	9.19E+02	2.2060		2.2060	9.19E+02
2.21E-03	9.94E+02	2.2060		2.2060	9.94E+02
2.25E-03	1.49E+03	2.2480		2.2480	1.49E+03
2.29E-03	2.23E+03	2.2910		2.2910	2.23E+03
2.29E-03	2.36E+03	2.2910		2.2910	2.36E+03
2.51E-03	2.28E+03	2.5070		2.5070	2.28E+03
2.74E-03	2.20E+03	2.7430		2.7430	2.20E+03
2.74E-03	2.54E+03	2.7430		2.7430	2.54E+03
3.00E-03	2.05E+03	3.0000		3.0000	2.05E+03
3.15E-03	1.82E+03	3.1480		3.1480	1.82E+03
3.15E-03	1.93E+03	3.1480		3.1480	1.93E+03
3.28E-03	1.75E+03	3.2830		3.2830	1.75E+03
3.43E-03	1.59E+03	3.4250		3.4250	1.59E+03
3.43E-03	1.65E+03	3.4250		3.4250	1.65E+03
4.00E-03	1.14E+03	4.0000		4.0000	1.14E+03
5.00E-03	6.66E+02	5.0000		5.0000	6.66E+02
6.00E-03	4.25E+02	6.0000		6.0000	4.25E+02
8.00E-03	2.07E+02	8.0000		8.0000	2.07E+02
1.00E-02	1.18E+02	10.0000		10.0000	1.18E+02
1.19E-02	7.58E+01	11.9200		11.9200	7.58E+01
1.19E-02	1.87E+02	11.9200		11.9200	1.87E+02
1.28E-02	1.55E+02	12.7900		12.7900	1.55E+02
1.37E-02	1.28E+02	13.7300		13.7300	1.28E+02
1.37E-02	1.76E+02	13.7300		13.7300	1.76E+02
1.40E-02	1.67E+02	14.0400		14.0400	1.67E+02
1.44E-02	1.59E+02	14.3500		14.3500	1.59E+02
1.44E-02	1.83E+02	14.3500		14.3500	1.83E+02
1.50E-02	1.64E+02	15.0000		15.0000	1.64E+02
2.00E-02	7.88E+01	20.0000		20.0000	7.88E+01
3.00E-02	2.75E+01	30.0000		30.0000	2.75E+01
4.00E-02	1.30E+01	40.0000		40.0000	1.30E+01
5.00E-02	7.26E+00	50.0000		50.0000	7.26E+00
6.00E-02	4.53E+00	60.0000		60.0000	4.53E+00
8.00E-02	2.19E+00	80.0000		80.0000	2.19E+00
8.07E-02	2.14E+00	80.7200		80.7200	2.14E+00
8.07E-02	8.90E+00	80.7200		80.7200	8.90E+00
1.00E-01	5.16E+00	100.0000		100.0000	5.16E+00
1.50E-01	1.86E+00	150.0000		150.0000	1.86E+00
2.00E-01	9.22E-01	200.0000		200.0000	9.22E-01
